Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Display Logic
1,Block 1,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
2,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
3,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
4,,Where are you from?,Text Entry,,,
5,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
6,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
7,,What is your phone number?,Text Entry,,,
8,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
9,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
10,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
11,,Where are you from?,Text Entry,,,
12,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
13,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
14,,What is your phone number?,Text Entry,,,
15,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
16,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
17,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
18,,Where are you from?,Text Entry,,,
19,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
20,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
21,,What is your phone number?,Text Entry,,,
22,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
23,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
24,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
25,,Where are you from?,Text Entry,,,
26,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
27,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
28,,What is your phone number?,Text Entry,,,
29,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
30,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
31,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
32,,Where are you from?,Text Entry,,,
33,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
34,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
35,,What is your phone number?,Text Entry,,,
36,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
37,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
38,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
39,,Where are you from?,Text Entry,,,
40,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
41,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
42,,What is your phone number?,Text Entry,,,
43,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
44,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
45,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
46,,Where are you from?,Text Entry,,,
47,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
48,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
49,,What is your phone number?,Text Entry,,,
50,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
51,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
52,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
53,,Where are you from?,Text Entry,,,
54,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
55,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
56,,What is your phone number?,Text Entry,,,
57,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
58,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
59,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
60,,Where are you from?,Text Entry,,,
61,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
62,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
63,,What is your phone number?,Text Entry,,,
64,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
65,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
66,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
67,,Where are you from?,Text Entry,,,
68,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
69,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
70,,What is your phone number?,Text Entry,,,
71,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
72,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
73,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
74,,Where are you from?,Text Entry,,,
75,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
76,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
77,,What is your phone number?,Text Entry,,,
78,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
79,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
80,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
