Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Randomization,Display Logic,Terminate
S1,Screener,"Using your best estimate, how many employees work for your organization worldwide? (select one.)",Multiple Choice - Single Select,"Less than 10 employees
11 to 100 employees - code as SMB
101 to 250 employees - code as SMB
251 to 499 employees - code as SMB
500 to 999 employees - code as Enterprise
1,000 to 4,999 employees - code as Enterprise
5,000 to 19,999 employees - code as Enterprise
20,000 or more employees - code as Enterprise
Don't know",,,,"Is 1
or is 9"
S2,,Which of the following best describes your company’s industry? (select one.),Multiple Choice - Single Select,"Advertising and/or marketing
Agriculture, food, and/or beverage
Business or professional services 
Chemicals and/or metals
Construction
Consumer product good and/or manufacturing
Consumer services
Education and/or nonprofits
Electronics
Energy, utilities, and/or waste management
Financial services 
Insurance services
Government
Pharma and health 
Technology and/or technology services
Legal services
Manufacturing and materials 
Media and/or leisure
Retail
Telecommunications services
Transportation and logistics 
Travel and hospitality
Other (please specify) [text entry]",,,,"Is 1
or is 10
or is 13
or is 16
or is 23"
S3,,What is your level of responsibility when it comes to your organization’s strategy and technology decision in cross-border commerce and payment systems? (select one.),Multiple Choice - Single Select,"I am the final decision maker for these decisions
I am part of a team making these decisions
I influence these decisions
I am not involved in these decisions
Other (please specify) [text entry]
Don’t know/does not apply",,,,"Is 4
or is 5
or is 6"
S6,,Does your organization accept online payments? ,Multiple Choice - Single Select,"Yes 
No
Don’t Know ",,,,
S5,,Which of the following best describes your current position/department? ,Multiple Choice - Single Select,"Finance/Accounting 
Human resources 
IT 
Digital business/Ecommerce/Marketing 
Operations 
Procurement 
Sales 
Other",,,,
S4,,What priority is your organization placing on cross-border sales over the next year? Cross-border commerce is defined as selling goods or services internationally (in another country.),Multiple Choice - Single Select,"High priority 
Moderate priority
Low priority 
Not on our agenda [ask S4.2 below and screen out]
Don’t know",,,,Is 5
S4.1,,Please select the top reasons your organization is placing cross-border sales as a high or moderate priority in the next year? (pick up to 3) ,Multiple Choice - Multiple Select,"Experiencing an economic slow-down
Sales decline in existing markets 
Fully penetrated our existing markets 
Prospects outside our current markets are asking 
See new expansion opportunities outside existing markets 
Keeping up with competitors who are supporting cross-border ecommerce 
Other ",,,"S4 is 1
or S4 is 2",
S4.2,,Please select the top reasons your organization is placing cross-border sales as a low priority or is not on your agenda in the next year? (pick up to 3) ,Multiple Choice - Multiple Select,"Too much risk: Fraud, Legal, Compliance, Security, etc 
Operationally complex: Pricing, Taxes, Currency, Logistics, Translation
Complexity of working with payment systems in other countries
Not enough internal expertise 
Other priorities have a better ROI 
Tried before and it didn’t work out 
Cross-Border commerce is not relevant to our business 
Don't have the right vendors in place 
Other",,,"S4 is 3
or S4 is 4",
1,Main Survey,What is the year-over-year growth rate of your cross-border business? ,Multiple Choice - Single Select,"0%-9% 
10%-29% 
30%-49% 
50%+ 
It's not growing 
Don't know ",,,,
2,,How did Covid impact the priority your organization placed on cross-border commerce over the past year?,Multiple Choice - Single Select,"Increased focus on cross-border commerce
It stayed the same
Reduced focus on cross-border commerce",,,,
