Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Randomization,Display Logic,Terminate
S01,SCREENER,How old are you?,Text Entry,,,,,
S2,,Which do you identify as,Multiple Choice - Single Select,"Female
Male
Non-binary/Non-conforming
Other
Prefer not to say ",,,,
S3,,Which of the following best describes the industry in which you work?,Multiple Choice - Multiple Select,"Entertainment or Media
Financial Services or Banking 
Government, Education, Nonprofits 
Healthcare/Medical
Hospitality/Travel 
Manufacturing 
Professional and Business Services (legal, consulting, research, etc.) 
Restaurant or Food Service 
Retail 
Technology and Software 
Telecommunications
Transportation/Delivery Services  
Other, please specify: [ANCHOR text entry]  
None of the above [ANCHOR EXCLUSIVE] ",,Yes,,
S4,,How many employees does your company have across all locations?,Multiple Choice - Single Select,"Less than 25 employees  [TERMINATE]
25-499 employees  [TERMINATE]
500-999 employees  [TERMINATE]
1000-2499 employees
Over 2500 employees",,,,"Is 1
or is 2
or is 3"
S5,,Which of the following best describes the job department you work in? ,Multiple Choice - Single Select,"Human Resources
Procurement 
Marketing/Sales
Accounting
Technology 
Operations 
Legal 
Other, please specify: [text entry]
None of the above ",,,,
S6,,"Which, if any, of the following describes the responsibilities or tasks you have done at your workplace (virtual or remote)?",Multiple Choice - Single Select,"Coordinating catered meals for work events such as meetings or trainings for 10 or more people
Approving the budget or setting guidelines for when my company provides meals for 10 or more people
Coordinating the award of company-paid monetary or non-monetary gifts to employees
Approving company paid-monetary or non-monetary gifts to employees
Selecting perks or benefits to offer employees company-wide
Selecting or approving what technology or IT hardware to provide (monitors, laptops, servers, etc.) 
Selecting or approving what software to provide (which specific programs are authorized)
Coordinating office onboarding, learning or formal training plans for 20 or more people
None of the above [anchor]",,Yes,,"is 6
or is 7
or is 8
or is 9"
S7,,"Which, if any, is available for you or for your staff in the workplace?  Please select all that apply.",Multiple Choice - Single Select,"Company-run Employee Resource Groups 
Company-held happy hours, either virtually or in person
A discretionary budget that I can spend as I wish
A team or company-wide budget that I can request access to spend on my team
None of the above",,,,
S8,,Which of the following on-demand delivery apps are you aware of?  Please select all that apply.,Multiple Choice - Multiple Select,"DoorDash
UberEats
Grubhub
Caviar
Postmates
Tock
Toast
Seamless
Instacart
None of these [ACHOR exclusive]",,Yes,,
S9,,Were you working at your current company before COVID-19?,Multiple Choice - Single Select,"Yes
No",,,,
INTRO,ORGANIZATIONAL PROFILING,Please tell us a little more about the company you work for.,Text,,,,,
P1,,"What city and state is your company’s office located in?  If your company has multiple offices, please enter the city and state for the office that you would report to if you were to work in-office.",Text Entry,,,,,
P2,,"Before COVID-19, how was your company operating?",Multiple Choice - Single Select,"100% in office
100% remote
Hybrid environment with some in office and some remote
I do not know",,,,
P3,,How is your company currently operating? ,Multiple Choice - Single Select,"100% in office
100% remote
Hybrid environment with some in office and some remote
I do not know",,,,Is 4
P4,,"For your job, approximately how much of your time is spent in the office vs remotely? ",Multiple Choice - Single Select,"Company office _______%
Remote location ________%",,,,
P5,,"In this next section, we would like to ask you a few questions about your company’s in-office amenities before COVID and currently. Which describes your knowledge of your company’s in-office offerings? ",Multiple Choice - Single Select,"I know what was offered in the office before COVID and currently
I do not know what was offered in the office before COVID but I know what is currently offered
I know what was offered in the office before COVID but I do not know what is currently offered
I do not know what was offered in the office before COVID or currently offered ",,,P3 is not 2,
P6,,Which of the following describes what was offered in your company’s office BEFORE COVID-19?,Matrix Table - Single Select,"Coffee or beverages
Snacks
Meals","Offered in the office, free of charge
Offered in the office, but employees had to pay
Staff given a stipend for this
Not offered in the office
I do not know",Yes,"P5 is 1
or P5 is 3",
P7,,Which of the following describes what is CURRENTLY offered in your company’s office?,Matrix Table - Single Select,"Coffee or beverages
Snacks
Meals","Offered in the office, free of charge
Offered in the office, but employees had to pay
Staff given a stipend for this
Not offered in the office
I do not know",Yes,"P5 is 1
or P5 is 2",
P8,,How often are you responsible for coordinating catered meals/food provided by the company for events/meetings with groups of the following sizes?,Matrix Table - Single Select,"5 or fewer people
6-10 people
11-20 people
21 to 40
41 to 60
61 to 80
80 to 100
100 or more","Daily
Weekly
Once a month 
A few times a month
A few times a year
Yearly
Never",,,
