Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Randomization,Display Logic,Terminate
S1,Section 1: Screening Criteria,Please enter your current age,Text Entry,,,,,
S2,,How would you describe your role in making financial decisions for your household? ,Multiple Choice - Single Select,"I have primary responsibility
I share the responsibility 
I have little or no responsibility",,,,Is 3
S3,,"For each product type, please select the option which best describes your current personal situation (Select all that apply) ",Matrix Table - Single Select,"Term life insurance
Whole life insurance
Universal / variable universal life insurance
Disability income insurance [must own DI or LTC on own / not via employer]
Long-term care insurance [must own DI or LTC on own / not via employer]
Retirement account 
Brokerage account (e.g., individual stocks, bonds or mutual funds)
Education account (e.g., 529 account)
Annuity (fixed, index, variable, income or other)
Managed investment account (including advisory accounts)","Currently own / purchased on your own (NOT through employer benefit plan)
Provided through employer benefit plan
Have had/owned in the past, but no longer do (cancelled/terminated policy)
Never owned [Exclusive]",Yes,,
Q1,Section 2: DI Specific Questions,What type of Disability Insurance product do you own?,Multiple Choice - Single Select,"Short-Term Disability
Long-Term Disability
Unsure",,,,
Q2,,What amount of coverage does your Disability Insurance product provide?,Multiple Choice - Single Select,"Replace less than 50% of income
Replace 51% to 75% of income
Replace 75% to 99% of income
Replace 100% of income
Unsure",,,,
Q3,,What firm did you purchase your Disability Insurance policy from? ,Multiple Choice - Single Select,"Unum
Northwestern Mutual
Principal
Guardian
MassMutual
The Standard
Ameritas
State Farm
Met Life
Ohio National
Other (please specify) [Text Entry Anchor]
Unsure [Anchor]",,Yes,,
Q4,Section 3: LTC Specific Questions,What type of LTC product do you own?,Multiple Choice - Single Select,"Hybrid product
Standalone
Other (please specify) [Text Entry]
Unsure",,,,
Q5,,What is the length of your benefit period?,Multiple Choice - Single Select,"2- year
3-year
4-year
5-year
6-year
Lifetime / unlimited
Other (please specify) [Text Entry]
Unsure",,,,
Q6,,What firm did you purchase from? ,Multiple Choice - Single Select,"Mutual of Omaha
Northwestern Mutual
New York Life
Bankers Life
Transamerica
Thrivent
MassMutual
Knights of Columbus
National Guardian Life
Lifesecure
Other (please specify) [Text Entry Anchor]
Unsure [Anchor]",,Yes,,
Q7,Section 4,How do you pay for your policy?,Multiple Choice - Single Select,"Monthly premiums
Annual premiums
One-time payment
Other (please specify) [Text Entry]",,,,
Q8,,"To the best of your recollection, what is your: (if you don’t know please enter 0)",Multiple Choice - Single Select,"Show if monthly: Estimated monthly premium 
Show if annual: Estimated annual premium 
Show if one-time: Estimated one-time funding amount 
Show if other: Estimated ‘prefill’ premium ",,,,
Q9,,How did you purchase this policy?,Multiple Choice - Single Select,"Online, on your own
Through a financial advisor 
Through an insurance agent
Other (please specify) [Text Entry]
Don’t recall",,,,
Q10,,Which best describes this policy?,Multiple Choice - Single Select,"Supplemental to employer coverage
Standalone policy (don’t have other coverage)
Unsure",,,,
Q11,,At approximately what age did you purchase this policy?,Text Entry,,,,,
Q12,,For each of the following enter whether or not this was true of yourself at the time you purchased this policy:,Matrix Table - Single Select,"Owned a home
Married
Had children
Self-employed","Yes	
No	
Don’t recall",,,
Q13,,"To the best of your recollection, what was your annual household income at the time you purchased this policy? Your best estimate is fine.",Multiple Choice - Single Select,"$0 - $19,999
$20,000 - $24,999
$25,000 - $29,999
$30,000 - $34,999
$35,000 - $39,999
$40,000 - $44,999
$50,000 - $74,999
$75,000 - $99,999
$100,000 - $124,999 
$125,000 - $149,999
$150,000 - $199,999
$200,000 or more
Do not recall
Prefer not to answer",,,,
Q14,,"To the best of your recollection, what was your household's total amount of investable assets at the time you purchased this policy? Your best estimate is fine.
Investable assets include liquid assets such as savings, CDs, mutual funds, stocks and bonds, and gold/silver coins/bars, but exclude real estate, business holdings, and employer-sponsored retirement plans, such as 401(k) and 403(b) plans.",Multiple Choice - Single Select,"$0 - $39,999  
$40,000 - $74,999 
$75,000 - $199,999
$200,000 - $249,999
$250,000 - $299,999
$300,000 - $399,999
$400,000 - $499,999
$500,000 - $749,999
$750,000 - $999,999
$1,000,000 - $1,499,999
$1,500,000 - $1,999,999
$2,000,000 - $2,999,999
$3,000,000 - $4,999,999
$5,000,000 or more
Do not recall
Prefer not to answer",,,,
Q15,,What prompted or triggered you to purchase this policy?,Text Entry,,,,,
D1,Section 5: Demographics / typing tool,What is your current annual household income?,Multiple Choice - Single Select,"$0 - $19,999
$20,000 - $24,999
$25,000 - $29,999
$30,000 - $34,999
$35,000 - $39,999
$40,000 - $44,999
$50,000 - $74,999
$75,000 - $99,999
$100,000 - $124,999 
$125,000 - $149,999
$150,000 - $199,999
$200,000 or more
Prefer not to answer",,,,
D2,,"What is your household's current total amount of investable assets?
Investable assets include liquid assets such as savings, CDs, mutual funds, stocks and bonds, and gold/silver coins/bars, but exclude real estate, business holdings, and employer-sponsored retirement plans, such as 401(k) and 403(b) plans.",Multiple Choice - Single Select,"$0 - $39,999  
$40,000 - $74,999 
$75,000 - $199,999
$200,000 - $249,999
$250,000 - $299,999
$300,000 - $399,999
$400,000 - $499,999
$500,000 - $749,999
$750,000 - $999,999
$1,000,000 - $1,499,999
$1,500,000 - $1,999,999
$2,000,000 - $2,999,999
$3,000,000 - $4,999,999
$5,000,000 or more
Prefer not to answer",,,,
D3,,What is your marital status?,Multiple Choice - Single Select,"Married
Living with partner (PN: coded as married)
Single, never married
Divorced
Separated
Widowed
Prefer not to answer",,,,
D4,,"How many children, if any, do you have?",Multiple Choice - Single Select,"1
2
3
4 or more
Prefer not to answer
Do not have any children",,,,
D5,,"Do you own your home?
This includes if you own the home outright or have a loan/mortgage associated with it",Multiple Choice - Single Select,"Yes
No
Prefer not to answer",,,,
D6,,Are you male or female?,Multiple Choice - Single Select,"Male
Female
Non-Binary
Prefer not to answer",,,,
D7,,What is the highest level of education you have completed?,Multiple Choice - Single Select,"12th grade or less
High school diploma
Some college, no degree
Vocational training
Associates degree
Bachelor’s degree
Post-graduate degree
Prefer not to answer",,,,
D8,,Which of the following best describes your current employment situation?,Multiple Choice - Single Select,"Employed full-time
Employed part-time
Unemployed but looking for work
Permanently sick or disabled
Homemaker
Retired
Other (please specify) [Text Entry]
Prefer not to answer",,,,
D9,,"What industry or field do you currently work in? If you have multiple jobs, please choose the one that you consider to be your main or primary occupation. ",Multiple Choice - Single Select,"Health care and social assistance
Hospitality, service, arts, entertainment and recreation 
Manufacturing, mining, construction, agriculture, forestry, fishing and hunting
Retail, trade and transportation
Education
Banking, finance, accounting, real estate, or insurance
Government, public administration or military
Information/Technology
Professional, scientific, and technical services
Other (please specify) [Text Entry]
Prefer not to answer",,,"D8 is 1
or D8 is 2",
D9b,,Which of the following best describes your primary occupation?,Multiple Choice - Single Select,"Physician – PCP or Family Medicine
Physician – Specialist (non-surgical)
Physician – Surgeon
Physician’s Assistant 
Nurse or Nurse Practitioner
Administrator / Office Manager
Office Staff
Technician
Other health care occupation (please specify) [Text Entry]",,,D9 is 1,
D9c,,What is your current job title?,Text Entry,,,,,
