Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Randomization,Display Logic,Terminate
Intro,,"Thank you for your interest in testing and providing feedback about our TELUS Health Virtual Pharmacy service.
This is your weekly survey.",Text,,,,,
Week 2 Intro,,"Forgotten to sign up? Do it now and come back later! Get started at https://www.telus.com/en/pharmacy
Please use the link at the website to download the application.",Text,,,,,
Q1,Interaction Questions,Did you use the TELUS Health Virtual Pharmacy this past week?,Multiple Choice - Single Select,"Yes, I used it once
Yes, I used it more than once
No, I didn’t use it",,,,
Q2,,How did you use our TELUS Health Virtual Pharmacy this week? Please select all that apply.,Multiple Choice - Single Select,"Created an account
Added a family member
Transferred medications
Viewed prescriptions
Ordered a prescription
Received a delivery
Communicated with the pharmacy
Other, please specify: [Text Entry]",,,,
Account Creation Questions Intro,Account Creation Questions,The following questions ask for your feedback on Creating an Account.,Text,,,,,
Q3,,"Overall, creating an account was:",Multiple Choice - Single Select,"Very Difficult
Somewhat Difficult
Neutral
Somewhat Easy
Very Easy",,,,
Q3 Follow Up,,Please provide any additional comments:,Text Entry,,,,,
Q4,,"How much do you agree or disagree with the following statement:
The information presented was organized and easy to follow.",Multiple Choice - Single Select,"Strongly Disagree
Somewhat Disagree
Neutral
Somewhat Agree
Strongly Agree",,,,
Q4 Follow Up,,Please provide any additional comments:,Text Entry,,,,,
Q5,,"How much do you agree or disagree with the following statement:
Overall, I liked the way Creating an Account worked.",Multiple Choice - Single Select,"Strongly Disagree
Somewhat Disagree
Neutral
Somewhat Agree
Strongly Agree",,,,
Q5 Follow Up,,Please provide any additional comments:,Text Entry,,,,,
Add Family Member Questions Intro,Add Family Member Questions,The following questions ask for your feedback on Adding a Family Member.,Text,,,,,
Q6,,"Overall, adding a family member was:",Multiple Choice - Single Select,"Very Difficult
Somewhat Difficult
Neutral
Somewhat Easy
Very Easy",,,,
Q6 Follow Up,,Please provide any additional comments:,Text Entry,,,,,
Q7,,"How much do you agree or disagree with the following statement:
The information presented was organized and easy to follow.",Multiple Choice - Single Select,"Strongly Disagree
Somewhat Disagree
Neutral
Somewhat Agree
Strongly Agree",,,,
Q7 Follow Up,,Please provide any additional comments:,Text Entry,,,,,
Q8,,"How much do you agree or disagree with the following statement:
Overall, I liked the way Adding a Family Member worked.",Multiple Choice - Single Select,"Strongly Disagree
Somewhat Disagree
Neutral
Somewhat Agree
Strongly Agree",,,,
Q8 Follow Up,,Please provide any additional comments:,Text Entry,,,,,
Medication Transfer Questions Intro,Medication Transfer Questions,The following questions ask for your feedback on Transferring Medication.,Text,,,,,
Q9,,"Overall, transferring medication was:",Multiple Choice - Single Select,"Very Difficult
Somewhat Difficult
Neutral
Somewhat Easy
Very Easy",,,,
Q9 Follow Up,,Please provide any additional comments:,Text Entry,,,,,
Q10,,"How much do you agree or disagree with the following statement:
The information presented was organized and easy to follow.",Multiple Choice - Single Select,"Strongly Disagree
Somewhat Disagree
Neutral
Somewhat Agree
Strongly Agree",,,,
Q10 Follow Up,,Please provide any additional comments:,Text Entry,,,,,
Q11,,"How much do you agree or disagree with the following statement:
Overall, I liked the way Transferring Medication worked.",Multiple Choice - Single Select,"Strongly Disagree
Somewhat Disagree
Neutral
Somewhat Agree
Strongly Agree",,,,
Q11 Follow Up,,Please provide any additional comments:,Text Entry,,,,,
Prescription Overview Questions Intro,Prescription Overview Questions,The following questions ask for your feedback on Viewing Prescriptions.,Text,,,,,
Q12,,"Overall, viewing prescriptions was:",Multiple Choice - Single Select,"Very Difficult
Somewhat Difficult
Neutral
Somewhat Easy
Very Easy",,,,
Q12 Follow Up,,Please provide any additional comments:,Text Entry,,,,,
Q13,,"How much do you agree or disagree with the following statement:
The information presented was organized and easy to follow.",Multiple Choice - Single Select,"Strongly Disagree
Somewhat Disagree
Neutral
Somewhat Agree
Strongly Agree",,,,
Q13 Follow Up,,Please provide any additional comments:,Text Entry,,,,,
Q14,,"How much do you agree or disagree with the following statement:
Overall, I liked the way Viewing Prescriptions worked.",Multiple Choice - Single Select,"Strongly Disagree
Somewhat Disagree
Neutral
Somewhat Agree
Strongly Agree",,,,
Q14 Follow Up,,Please provide any additional comments:,Text Entry,,,,,
Prescription Ordering and Payment Questions Intro,Prescription Ordering and Payment Questions,,Text,,,,,
Q15,,"Overall, ordering and paying for my prescriptions was:",Multiple Choice - Single Select,"Very Difficult
Somewhat Difficult
Neutral
Somewhat Easy
Very Easy",,,,
Q15 Follow Up,,Please provide any additional comments:,Text Entry,,,,,
