Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Randomization,Display Logic
S1,Screener,Which of the following best describes your age? Please select one answer.,Multiple Choice - Single Select,"Under 18
18-24
25-29
30-39
40-49
50-59
60-64
65-74
75 or over
Refused",,,
S2,,Are you…? Please select one answer,Multiple Choice - Single Select,"Male
Female
Self-identify as please specify (Text Entry)
Prefer not to answer",,,
S3,,"Is anyone in your immediate family employed in any of the following fields or occupations?

Please select all that apply",Multiple Choice - Multiple Select,"Advertising, marketing, or public relations
Healthcare
Marketing research, consulting, opinion research
News organization like newspapers, radio, or television
Retail
Telecommunications 
Technology
Manufacturing
Other (Text Entry)
None of the above (Exclusive)",,,
S4,,"Which of the following best describes your current employment status?

Please select one answer",Multiple Choice - Single Select,"Employed full-time
Employed part-time
Homemaker
Student
Retired
Unemployed
Other",,,
S5,,"What is your total annual household income?

Please select one answer",Multiple Choice - Single Select,"Less than $35,000 
$35,000 to $49,999 
$50,000 to $69,999 
$70,000 to $99,999
$100,000 to $149,999
$150,000 to $199,999
$200,000 or more
Prefer not to say",,,
S6,,"How would you describe your overall opinion of the following brands…?  

Please select one answer per brand.",Matrix Table - Single Select,"Quest Diagnostics
Hilton
Marriott
LabCorp
Target
Walmart
Citibank
Capital One","Very negative
Somewhat negative
Neither positive nor negative
Somewhat positive
Very positive",Yes,
S7,,"Which option best describes your health insurance?

Please select one answer",Multiple Choice - Single Select,"Coverage provided by an employer health plan
Coverage provided by a private health insurance company
Coverage provided by the government through Medicaid
Coverage provided by the government through Medicare
Coverage provided by the government through the military
Coverage provided by Health Insurance Marketplace Plan (“Obamacare”/”Affordable Care Act”)
Do not currently have health care insurance coverage",,,
S8,,"When making decisions about health care for the household…

Please select one answer",Multiple Choice - Single Select,"I am the primary decision-maker when it comes to health care in my household
I share health care decision-making responsibilities in my household
I am not involved in health care decision-making in my household",,,
S9,,"Which of the following types of health care have you ever used?

Please select all that apply",Multiple Choice - Multiple Select,"Hospital in-patient stay
Hospital out-patient visit
Urgent Care visit
Emergency Room
Primary care doctor visit
Specialist doctor visit
Holistic medicine visit
Virtual care or telemedicine visit
Lab test provider or diagnostic laboratory visit for services such as common blood work (cholesterol panel, blood type, diabetes management, etc.) or drug testing and more advanced testing 
I purchased a diagnostic lab test online (not COVID test) such as Vitamin D levels, allergy levels, etc.
I have not received medical care in the past 12 months",,,
S10,,"Have you been diagnosed with any of the following chronic medical conditions?

Please select all that apply.",Multiple Choice - Multiple Select,"Alzheimer disease and dementia.
Arthritis
Asthma
Cancer
Chronic obstructive pulmonary disease (COPD)
Heart disease
Crohn disease
Cystic fibrosis
Diabetes
Epilepsy
HIV/AIDS
Mood disorders (bipolar, cyclothymic, and depression)
Multiple sclerosis
Chronic pain and osteoporosis
Parkinson disease
Other (Text Entry)
I have not been diagnosed with any of these (Exclusive)",,,
