Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Randomization,Display Logic,Term
Intro,Intro,"Thank you for sharing your Sakara experience with us! Just like you, we're constantly growing, learning, and evolving. Our mission has always been to take care of you and help you feel your best through the power of food-as-medicine. Your thoughts will help us on our journey. This survey should take about 15 minutes to complete. Please allow yourself enough time, and your progress will save if you need to return to the survey later. As a token of our gratitude, you'll receive a $20 credit for use at Sakara.com upon completion. Thank you, Sakaralite, from the bottom of our hearts! We couldn't do any of this without you.",Text,,,,,
1,I. General Product History,Please select which Sakara item(s) you have ordered at any point.,Multiple Choice - Multiple Select,"Meal delivery program (including Bridal program);Level II Detox meal program;Products (including Powders, Supplements, Bars & Snacks, Teas, Gifts & Snacks)",,,,
2,"II. NPS, Brand Affinity, and KPCs","On a scale from 0-10, where 0 is “not at all likely” and 10 is “extremely likely”, how likely are you to recommend Sakara to a friend or colleague?",Multiple Choice - Single Select,1;2;3;4;5;6;7;8;9;10,,,,
3,,What is the reason for your answer?,Text Entry,,,,,
4,,What 3 words first come to mind when you think of Sakara?,Text Entry,,,,,
5,,How strongly do you agree that the following words or phrases describe Sakara?,Matrix Table - Single Select,Cares about the environment;High quality;Supportive community;Healthy;Trustworthy;Natural;Holistic;Innovative;Inspirational,1 - Strongly disagree;2 - Disagree;3 - Neutral;4 - Agree;5 - Strongly Agree,,,
6,,How would you describe Sakara’s Mission to a friend?,Text Entry,,,,,
7,,"When deciding to order a meal delivery program, how important are the following factors in your decision to purchase?",Matrix Table - Single Select,"Nutritional integrity and healthiness;Quality and freshness of ingredients;Program flexibility/ability to adapt week to week based on my schedule or needs;Reliable, on-time delivery;Taste of the food;Food that leaves me satisfied (not hungry);Customer service;Ease of ordering (web, mobile, app);Food that helps me reach optimal weight;Food that makes me feel my best;Price of the food;Organic, gluten-free, and/or dairy free;Packaging;Program meets my schedule (# and timing of days offered, delivery schedule, deadline to order);Other (please specify):[Text Entry Anchor]",1 - not at all important;2;3-somewhat important;4;5-extremely important;,Yes,,
8,III. Level II Detox Only,How many times have you completed Sakara’s Level II Detox meal program?,Multiple Choice - Single Select,10+;7-9;4-6;2-3;1,,,,
9,,When did you most recently order the Level II Detox meal program?;In the last month;In the last 2-3 months;In the last 4-6 months;In the last 6-12 months;More than a year ago,Multiple Choice - Single Select,In the last month;In the last 2-3 months;In the last 4-6 months;In the last 6-12 months;More than a year ago,,,,
10,,How satisfied are you with the following aspects of Sakara’s Level II Detox meal program?,Matrix Table - Single Select,"Nutritional integrity and healthiness;Quality and freshness of ingredients;Reliable, on-time delivery;Taste of the food;Food that leaves me satisfied (not hungry);Customer service;Ease of ordering (web, mobile, app);Food that helps me reach optimal weight;Food that makes me feel my best;Price of the food;Organic, gluten-free, and/or dairy free;Packaging;Program meets my schedule (# and timing of days offered, delivery schedule, deadline to order)",1 - not at all satisfied;2;3-somewhat satisfied;4;5-extremely satisfied;,,,
11,,What suggestions do you have for improving the Level II Detox meal program? ,Text Entry,,,,,
12,,How likely are you to order the Level II Detox meal program again... in the next 6 months? In the next 12 months?,Matrix Table - Single Select,In the next 6 months?;In the next 12 months?,1-not at all likely;2;3-somewhat likely;4;5-extremely likely,,,
13,,"You indicated you have not ordered Sakara's Signature meal delivery program. To help us understand why, please choose from the reasons below.",Multiple Choice - Single Select,"Sakara's meal delivery is too expensive for my budget;I prefer to cook my own meals;Sakara's meal delivery is not a good enough value for the price;Inconvenient to receive the delivery;The timing of deliveries is inconvenient and/or doesn’t fit my schedule;I was not aware of Sakara's meal delivery service;Sakara's meal delivery does not include animal protein;The meals do not look appealing to me/suit my tastes;I prefer to eat out;It is difficult to order Sakara's meal delivery;There is insufficient nutritional information on Sakara's meal delivery;The program options don’t fit my needs (number of days or meals required, delivery schedule);Inability to pick specific meals (set menu);I'm uninterested;Other (please specify):[Text Entry Anchor]",Top  reason;2nd reason;3rd reason,Yes,,
14,,Please share any additional comments related to Sakara Signature meal program here,Text Entry,,,,,
15,IV. Products Only,Please select which Sakara item(s) you have ordered at any point.,Multiple Choice - Multiple Select,"10-Day Reset;Complete Probiotic Blend;The Foundation or The Foundation Prenatal;Metabolism Super Powder;Protein + Greens Super Powder;Super Bars (Energy, Detox, Beauty, Metabolism);Water Drops (Beauty, Detox);Chocolates (Beauty, Nootropic, Probiotic);Granola (Classic, Dark Chocolate, Plant Protein);Tea (Detox, Digestive, Sleep, Youth & Beauty);Other (Holiday Items, Clothing, Gift cards, etc.)",,,,
16,,"How often do you typically order Sakara products (including Powders, Supplements, Bars & Snacks, Teas, Gifts & Snacks)?",Matrix Table - Single Select,More than 1 time per month;About 1 time per month;One time most months;A few months a year;Once a year;Less than once a year,,,,
17,,When did you most recently order Sakara products?,Matrix Table - Single Select,In the last month;In the last 3 months;In the last 6 months;In the last year;More than a year ago,,,,
18,,"You indicated you have not ordered Sakara's Signature meal delivery program. To help us understand why, please choose from the reasons below.",Matrix Table - Single Select,"Sakara's meal delivery is too expensive for my budget;I prefer to cook my own meals;Sakara's meal delivery is not a good enough value for the price;Inconvenient to receive the delivery;The timing of deliveries is inconvenient and/or doesn’t fit my schedule;I was not aware of Sakara's meal delivery service;Sakara's meal delivery does not include animal protein;The meals do not look appealing to me/suit my tastes;I prefer to eat out;It is difficult to order Sakara's meal delivery;There is insufficient nutritional information on Sakara's meal delivery;The program options don’t fit my needs (number of days or meals required, delivery schedule);Inability to pick specific meals (set menu);I'm uninterested;Other (please specify):[Text Entry Anchor]", Top  reason;2nd reason;3rd reason,Yes,,
19,,Please share any additional comments related to Sakara’s meal programs here,Text Entry,,,,,
20,V. Sakara Meal Program purchase behavior,How satisfied are you with the following aspects of Sakara’s Meal Program (excluding Level II Detox)?,Matrix Table - Single Select,"Nutritional integrity and healthiness;Quality and freshness of ingredients;Program flexibility/ability to adapt week to week based on my schedule or needs;Reliable, on-time delivery;Taste of the food;Food that leaves me satisfied (not hungry);Customer service;Ease of ordering (web, mobile, app);Food that helps me reach optimal weight;Food that makes me feel my best;Price of the food;Organic, gluten-free, and/or dairy free;Packaging;Program meets my schedule (# and timing of days offered, delivery schedule, deadline to order)",1 - not at all satisfied;2;3-somewhat satisfied;4;5-extremely satisfied;,,,
21,,What suggestions do you have for improving the Sakara’s Meal Program?,Text Entry,,,,,
22,,When did you place your very first Sakara meal program order?,Multiple Choice - Single Select,Before 2019;2019;2020;This year (2021);I don’t remember,,,,
